Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
1274,20-Jan-06,Commons Street (IFSC),5,Parking Catering Vehicles,23-Jan-06,23-Jan-06,152.00
1275,18-Jan-06,St Stephens Green,3,Collection from KPMG,22-Jun-06,22-Jun-06,114.00
1276,05-Jan-06,Stephens Green,4,To facilate filiming,09-Jan-06,09-Jan-06,152.00
1277,05-Jan-06,Stephens Green (Loreto College),4,Road Caster,09-Jan-06,09-Jan-06,152.00
1278,05-Jan-06,Molesworth Street,12,To facilate Filiming,09-Jan-06,09-Jan-06,152.00
1279,05-Jan-06,Whitefriars,2,Furniture removal,23-Jan-06,23-Jan-06,60.80
1280,05-Jan-06,Townsend Street,2,To allow access to loading Bay,09-Jan-05,13-Jan-06,456.00
1281,06-Jan-06,Mount St Crescent (Sp. Surrounding Peppercanister),6,To facilate filiming,10-Jan-06,11-Jan-06,200.00
1282,06-Jan-06,Military Road 9 Off Rathmines Road).,6,For Site Compound,09-Jan-06,09-Sep-06,0.00
1283,06-Jan-06,Lennox Street (Off South Richmond Street),6,For Site Company,09-Jan-06,09-Sep-06,0.00
1284,10-Jan-06,Ely Place,4,For Loading  Purposes,13-Jan-06,13-Jan-06,152.00
1285,12-Jan-06,Stephens Green,4,Outside Broadcast Unit,25-Jan-06,25-Jan-06,0.00
1286,12-Jan-06,Lansdowne Road,4,Outside Broadcast Unit,04-Feb-06,04-Feb-06,152.00
1287,18-Jan-06,York Street,5,Official Launch,25-Jan-06,25-Jan-06,190.00
1288,12-Jan-06,Vicar Street,8,Television Recording,19-Jan-06,20-Jan-06,608.00
1289,13-Jan-06,160 Shelbourne Road,5,Access to Site,18-Jan-06,03-Mar-06,"5,510.00"
1290,13-Jan-06,Gloucester Street,4,To allow free flow of traffic,16-Jan-06,20-Jan-06,912.00
1291,17-Jan-06,York Street,4,Official Launch,25-Jan-06,25-Jan-06,152.00
1292,05-Jan-06,Gloucester Street,4,To allow access to Loading Bay,09-Jan-06,13-Jan-06,912.00
1293,13-Jan-06,Townsend Street,2,To allow access to Loading Bay,16-Jan-06,20-Jan-06,456.00
1294,05-Jan-06,Townsend Street,2,To allow access to Loading Bay,23-Jan-06,27-Jan-06,456.00
1295,13-Jan-06,Gloucester Street,4,To allow access to Loading Bay,23-Jan-06,27-Jan-06,912.00
1296,20-Jan-06,Molesworth Street,5,Parking Catering Vehicle,24-Jan-06,24-Jan-06,190.00
1298,20-Jan-06,Adjacent to Herbert Park (Ballsbridge End),5,Parking Catering Vehicles,24-Jan-06,24-Jan-06,152.00
1299,20-Jan-06,Duke Lane of South Anne Street,6,Parking Catering Vehicles,24-Jan-06,24-Jan-06,228.00
1300,20-Jan-06,Northwall Quay,4,Outside Broadcast,29-Jan-06,29-Jan-06,121.60
1301,20-Jan-06,Northwall Quay,4,Outside Broadcast,02-Feb-06,02-Feb-06,121.60
1302,20-Jan-06,Nutley Avenue,8,Parking of Filming Vehicles,24-Jan-06,24-Jan-06,201.10
1303,23-Jan-06,St Stephens Green,4,Outside Broadcast,01-Feb-06,01-Feb-06,152.00
1304,24-Jan-06,Foley Street,1,Moving Premises,10-Feb-06,10-Feb-06,30.40
1305,24-Jan-06,Fitzwilliam Place,1,Moving Premises,10-Feb-06,10-Feb-06,38.00
1306,25-Jan-06,Lower Mount Street,7,Filming,06-Feb-06,06-Feb-06,266.00
1307,25-Jan-06,Lower Mount Street,7,Filming,13-Feb-06,13-Feb-06,266.00
1308,25-Jan-06,Parnell Square North,5,Compound Area to store spoil,04-Feb-06,30-Mar-06,"10,400.00"
1309,25-Jan-06,Parnell Square North,3,Store Granite,26-Jan-06,30-Apr-06,0.00
1310,26-Jan-06,Townsend Street,2,To allow traffic to flow while loading bay in use,30-Jan-06,03-Feb-06,456.00
1311,26-Jan-06,Gloucester Street,2,To allow traffic to flow while loading bay in use,30-Jan-06,03-Feb-06,912.00
1312,27-Jan-06,Lansdowne Road,4,Roadhog,26-Feb-06,26-Feb-06,121.60
1313,27-Jan-06,Lansdowne Road,4,Roadhog,04-Feb-06,04-Feb-06,121.60
1314,27-Jan-06,Stephens Green,4,Roadhog,11-Feb-06,11-Feb-06,152.00
1315,27-Jan-06,"St. Stephens Green, outside Rubicon Gallery & Il Pesto Restaurant",2,Daffodil Day,24-Mar-06,24-Mar-06,76.00
1316,27-Jan-06,Outside 122 Baggot Street,2,Relocation from Windsor Place to Baggot Street,03-Feb-06,03-Feb-06,76.00
1317,31-Jan-06,Enniskerry Road (off Phibsborough Road),5,Site Compound,06-Feb-06,06-Mar-06,0.00
1318,01-Feb-06,Townsend Street,2,To allow traffic to flow while loading,06-Feb-06,10-Feb-06,456.00
1319,01-Feb-06,Gloucester Street,4,To allow traffic to flow while loading,06-Feb-06,10-Feb-06,912.00
1320,01-Feb-06,Nassau Street (in front of Celtic Note),3,Broadcast,08-Feb-06,08-Feb-06,114.00
1321,08-Feb-06,Hatch St.(Opp.RearEnt.to C.Hal)l,6,Y.O.Festival,11-Feb-06,11-Feb-06,0.00
1322,08-Feb-06,South Anne Street,2,To Facilate Filiming,14-Feb-06,14-Feb-06,0.00
1323,08-Feb-06,South Anne Street,6,To Facilate Filiming,15-Feb-06,15-Feb-06,0.00
1324,09-Feb-06,Lower Mount Street,2,Recording of TV Series,14-Feb-06,14-Feb-06,266.00
1325,09-Feb-06,Lansdowne Road,4,Outside Broadcast,25-Feb-06,26-Feb-06,304.00
1326,09-Feb-06,Molesworth Street,5,To Facilate Filiming,15-Feb-06,15-Feb-06,0.00
1327,10-Feb-06,Townsend Street,2,To allow traffic to flow while loading,13-Feb-06,17-Feb-06,456.00
1328,10-Feb-06,Gloucester Street,4,To allow traffic to flow while loading,13-Feb-06,17-Feb-06,912.00
1329,10-Feb-06,St. Stephens Green,3,Broadcast,15-Feb-06,15-Feb-06,114.00
1330,10-Feb-06,27 South  Frederick Street,2,Ireland  American Fund,13-Feb-06,13-Feb-06,76.00
1331,13-Feb-06,St. Stephens Green  North,4,Site Compund and Storage Area,11-Feb-06,09-Apr-06,0.00
1332,13-Feb-06,St. Stephens Green,4,Parking of Roadhog,17-Feb-06,17-Feb-06,142.00
1333,16-Feb-06,Townsend Street,2,To allow traffic to flow freely,20-Feb-06,24-Feb-06,380.00
1334,16-Feb-06,Glouchester Street,4,Traffic to flow freely while loading bay in use,20-Feb-06,24-Feb-06,760.00
1335,20-Feb-06,Nth. Gr. Georges Street,3,Parking of Mobile Library,21-Feb-06,21-Feb-06,0.00
1336,20-Feb-06,Pearse Street (Outside  St. Andrews Rescourse Centre),3,Parking of Mobile Library,27-Feb-06,27-Feb-06,0.00
1337,21-Feb-06,Northwall Quay,4,To facilate outside broadcast unit,24-Feb-06,24-Feb-06,121.60
1338,21-Feb-06,Northwall Quay,4,To facilate outside broadcast unit,02-Mar-06,02-Mar-06,121.60
1339,21-Feb-06,Lansdowne Road,4,To facilate outside broadcast unit,01-Mar-06,01-Mar-06,121.60
1340,22-Feb-06,Lansdowne Road,4,Roadhog,01-Mar-06,01-Mar-06,152.00
1341,22-Feb-06,Lansdowne Road,4,Roadhog,11-Mar-06,11-Mar-06,152.00
1342,22-Feb-06,Stephens Green,4,Roadhog,10-Mar-06,10-Mar-06,152.00
1343,22-Feb-06,Outside 4-5 Dawson Street (Outside Clearway Hours),2,Truck Delivering Office Furniture & Fittings,01-Mar-06,02-Mar-06,152.00
1344,22-Feb-06,Charlemont  Mall,5,Storage for Roadworks,27-Feb-06,26-May-06,0.00
1345,23-Feb-06,St. Stephens Green (Outside the Dandelion Restaurant),3,Broadcast,01-Mar-06,01-Mar-06,114.00
1346,23-Feb-06,Burlington Road,8,Office Launch,09-Mar-06,09-Mar-06,304.00
1347,23-Feb-06,Corner of Upper Merrion Street,3,Horse Box & Trailer,24-Feb-06,24-Feb-06,114.00
1348,23-Feb-06,St. Annes Road North,6,Construction of Granite Footpath on Drumcondra Rd,01-Mar-06,31-Mar-06,0.00
1349,23-Feb-06,Western Way,5,Storage,26-Feb-06,25-Apr-06,0.00
1350,27-Feb-06,Townsend Street,2,To allow traffic to flow while loading,27-Feb-06,03-Mar-06,456.00
1351,27-Feb-06,Gloucester Street,4,To allow traffic to flow while loading,27-Feb-06,03-Mar-06,912.00
1352,27-Feb-06,Great Strand Street,9,Filming,01-Mar-06,01-Mar-06,342.00
1353,27-Feb-06,Synge Street,1,Removal of materials to Recycling,28-Feb-06,28-Feb-06,30.40
1354,28-Feb-06,Lansdowne Road,4,Outside Broadcast,11-Mar-06,11-Mar-06,152.00
1355,01-Mar-06,Vicar Street,3,Broadcast,06-Mar-06,06-Mar-06,0.00
1356,01-Mar-06,Synge Street,1,Removal of Household Sods,04-Mar-06,04-Mar-06,30.40
1357,01-Mar-06,Townsend Street,2,To allow traffic to flow while loading,06-Mar-06,10-Mar-06,456.00
1358,01-Mar-06,Gloucester Street,4,To allow traffic flow while loading,06-Mar-06,10-Mar-06,912.00
1359,02-Mar-06,Hume Street,5,Moving office,02-Mar-06,02-Mar-06,190.00
1360,03-Mar-06,Blessington Street,1,Painting the front of houses,07-Mar-06,08-Mar-06,91.20
1361,03-Mar-06,Nelson Street,1,Painting the front of houses,09-Mar-06,10-Mar-06,30.40
1362,06-Mar-06,North Great Georges Street Upper,5,Filming,08-Mar-06,08-Mar-06,190.00
1363,06-Mar-06,Greenville Street,10,Filming,08-Mar-06,08-Mar-06,304.00
1364,06-Mar-06,Hill Street,9,Filming,08-Mar-06,08-Mar-06,273.60
1365,06-Mar-06,Denmark Street,5,Filming,08-Mar-06,08-Mar-06,190.00
1366,07-Mar-06,Shelbourne Road,5,Access to Site,08-Mar-06,28-Apr-06,"8,550.00"
1367,07-Mar-06,Townsend Street,2,To allow traffic to flow while loading,13-Mar-06,17-Mar-06,456.00
1368,07-Mar-06,Gloucester Street,4,To allow traffic to flow while loading,13-Mar-06,17-Mar-06,912.00
1369,08-Mar-06,South Circular Road,8,Filming,13-Mar-06,13-Mar-06,152.00
1370,08-Mar-06,Aston Quay,3,Event Organiser and Pavan Trailer,18-Mar-06,18-Mar-06,114.00
1371,09-Mar-06,Capel Street (Eastside -outside properties 49/50),2,Footpath Reinstatement,13-Mar-06,16-Mar-06,0.00
1372,10-Mar-06,Lotts Way (Behind Spirit Nightclub),8,Outside Broadcast - Filming at Spirit,21-Mar-06,22-Mar-06,608.00
